suburb,postcode,qty_venue,pop,most_common
Southbank,3006,21,26166,Nightclub
Melbourne,3000,119,58804,Bar
West Melbourne,3003,5,8724,Hotel
Docklands,3008,8,18567,Bar
Carlton,3053,11,17198,Hotel
North Melbourne,3051,6,15998,Hotel
South Wharf,3006,2,71,Hotel
South Yarra,3141,2,25028,Hotel
Parkville,3010,3,7074,Performance space
